feature,mean_abs_shap,mean_shap,std_shap
last_fico_range_high,1.2407517674740274,-0.12386872886595947,1.5365023354095726
last_fico_range_low,0.33314511844170047,-0.060736120356469775,0.509836475242672
int_rate,0.19285447552042215,0.027572342891010668,0.24274652841593497
dti,0.15014204620936814,-0.043741690200311704,0.17713746000333233
open_rv_24m,0.12110710228170529,0.041531524033759225,0.16413562189004927
installment,0.11219150720815868,-0.01332639421847618,0.14029625315991276
funded_amnt,0.10589010283432841,0.01598179984395832,0.13161635254399126
loan_amnt,0.10404045682871992,0.015702636150160983,0.12931733068793888
installment_to_income_ratio,0.08917509442458624,-0.030898810332681204,0.11009837685567969
open_acc_6m,0.08391526240510416,-0.004377680046637716,0.1168991464847534
mo_sin_old_rev_tl_op,0.08267270392921089,-0.005426104470052996,0.10838898456516792
mths_since_rcnt_il,0.07707128339119775,0.026116474325872815,0.14730318071887888
issue_year,0.07589818741448343,-0.07589818741448343,0.016638672287824195
inq_fi,0.07429491026735695,0.062327944855165206,0.10541708146372361
funded_amnt_inv,0.0739989455764682,0.01119671426209431,0.09198210008263519
all_util,0.07125514874323317,-0.0073871844328160475,0.08964220030774646
total_cu_tl,0.06765083272205066,-0.04197848552148192,0.10979403789360027
open_il_24m,0.06150536828115723,0.020523112140965086,0.08836674894107382
max_bal_bc,0.0596150626265338,-0.02013566384082448,0.08604318222639874
revol_util,0.05584017717226951,0.029695560027867902,0.059233747436106134
pct_tl_nvr_dlq,0.05441994680936887,-0.010982581082122444,0.07458189770300114
open_il_12m,0.053729832394737345,0.041038832188534935,0.0666212890291706
issue_month,0.05290714257645133,0.0034642096956262157,0.06132703055614046
open_act_il,0.04939843222884141,-0.008456897936869382,0.07291082075884918
annual_inc,0.04749089650951259,-0.02303046204162391,0.06612385604992523
mths_since_last_major_derog,0.046192772907236626,-0.009512025309083483,0.09543926275154929
pub_rec_bankruptcies,0.04482914512740522,0.004590014859461258,0.060119655703490794
num_op_rev_tl,0.044246413121808686,-0.0018201409522464068,0.05761211753359171
num_bc_tl,0.04243246916709007,0.0013231698463020164,0.05681288869852455
num_tl_op_past_12m,0.04102288187510166,-0.008704849177766061,0.0554404926876707
num_actv_rev_tl,0.03666922792302158,-0.0018570834982488032,0.049233157398937306
total_rev_hi_lim,0.036615812932027474,-0.017652820253942166,0.05766792813851596
tot_hi_cred_lim,0.03433016018890424,-0.013848548375327074,0.04521399491040579
avg_cur_bal,0.03386535243586915,-0.011075712774789848,0.04909254760099571
num_actv_bc_tl,0.0336588816009011,-0.00338620539244478,0.043502697613122636
total_bc_limit,0.0321168934754248,0.0128150551490523,0.04880946160420223
mo_sin_old_il_acct,0.030973741223121083,-0.004599513457173656,0.040874529886429624
total_acc,0.02953175652929787,0.0020328990613207635,0.03762108822977893
tot_cur_bal,0.028598679373611092,-0.009753672839117765,0.037899740781398294
total_il_high_credit_limit,0.027567972871104608,-0.006747927106148397,0.04301191791079945
num_il_tl,0.02728081337523615,0.0010351620963838532,0.03669401302897525
num_bc_sats,0.025715314973198476,0.008355293596372269,0.03782400448689184
num_rev_tl_bal_gt_0,0.0256648811700077,-0.00021698411540419071,0.034173448254475054
mths_since_recent_revol_delinq,0.024991996157981217,0.0070816051289616455,0.042248673983328724
inq_last_12m,0.022502676006289662,0.016737996525101995,0.030847168552815583
delinq_2yrs,0.022287153343992748,-0.005495462468381776,0.046355662509697824
num_accts_ever_120_pd,0.021731882825543468,0.0023449896279266595,0.0379924726628086
mths_since_recent_bc_dlq,0.018251829155635373,0.007716737490378687,0.03634298823006951
percent_bc_gt_75,0.018129428370818056,-0.009223895176041323,0.018627344727797375
num_sats,0.01786661655807549,0.0024580900370888194,0.022983770797749742
mort_acc,0.016983202774165953,0.0026143407912544215,0.02118978156424306
bc_util,0.01658256186285615,0.0087975259337546,0.017924171610846057
credit_history_years,0.015538128948614727,0.000322695306219829,0.020939766684367388
mths_since_last_delinq,0.013877319325576983,0.003783000830487433,0.018993356321362957
inq_last_6mths,0.012175362576021462,-0.002205989038164168,0.013947771316147866
revol_bal,0.01132978546041273,0.0024771989495407888,0.021240338384550184
fico_range_high,0.009169116541986384,-0.0025509106058157842,0.01155747986747369
fico_midpoint,0.00916877246136276,-0.0025508148802452723,0.011557046161035108
fico_range_low,0.009168427363432367,-0.0025507188716530982,0.0115566111723026
open_rv_12m,0.00739757904125993,0.0031287062991705705,0.011313066883047717
num_rev_accts,0.007304373993040178,-0.0007585933044142336,0.00983158328238786
il_util,0.007118445709547078,0.0008165326520248396,0.009891419367898604
mths_since_recent_bc,0.006864951090361524,-0.0014258117411243198,0.00997334312894824
mths_since_last_record,0.005788663134712502,-0.0016061588674192951,0.015092363318044545
collections_12_mths_ex_med,0.005393040714277933,0.0030366220238051433,0.02541346050845318
tax_liens,0.005379107115922016,0.00024273949079070585,0.014723305735205909
open_acc,0.004590688920685928,0.0006330759162874655,0.0059280924212804864
num_tl_30dpd,0.003427443977682857,0.003427443977682848,0.04835004727826785
bc_open_to_buy,0.003316154050129145,-0.0017939070690482384,0.005736652765220089
chargeoff_within_12_mths,0.0030734979565514163,0.003073497956551416,0.022701388448145957
total_bal_ex_mort,0.0030469138611515516,0.0009616113260538289,0.005070962359460764
num_tl_90g_dpd_24m,0.0026353621934407188,-0.0012549343778289132,0.00986839495545165
pub_rec,0.002489030184545177,-0.00017205277773353676,0.0033558868691637074
acc_now_delinq,0.0016100247800122478,-0.001610024780012246,0.022712194492352414
mths_since_recent_inq,0.0015285835464801422,-0.00029751676340401584,0.0018881106767963118
