feature,mean_abs_shap,mean_shap,std_shap
last_fico_range_high,0.21152566061224715,-0.11933875724920665,0.1818072540822918
last_fico_range_low,0.18800787434007796,-0.10559578823984907,0.16324851424790268
dti,0.01243194530642286,-0.00475533634513263,0.0157413777432673
installment_to_income_ratio,0.009473131032285248,-0.004567289524620305,0.012777205193233885
int_rate,0.006215685390230798,-0.0017157734656652595,0.009185481617965983
issue_year,0.0043102679189768265,0.004169569781203009,0.005266509119636575
funded_amnt_inv,0.002617893623065692,-0.0006105854311157698,0.004070587818742631
installment,0.0025977634987197425,-0.0015751391887792452,0.005227162083227585
mths_since_last_major_derog,0.001739456138248289,-0.00017707837819588076,0.0034165251611888246
num_bc_tl,0.0017324386780698936,-0.0003129731153949455,0.0025120564614762864
funded_amnt,0.0016634588545614776,-0.00010092986188934002,0.0022571561419744597
loan_amnt,0.0015508398338243393,-0.0002744057896682938,0.002120923971860131
mo_sin_old_rev_tl_op,0.0015476386191359624,-0.0008868509668494808,0.002893126286030695
credit_history_years,0.001448013250372904,-0.000967839789359436,0.002577441193282463
total_rev_hi_lim,0.0013122980431331298,-0.0005006894795467024,0.0031638236616783966
pct_tl_nvr_dlq,0.0012977968625722685,-0.0005549306571722068,0.002701033763010007
annual_inc,0.0012599775675258143,-0.000747934674160337,0.0026948963932872947
issue_month,0.0010158651587051895,-0.0003644195170632655,0.0017559412007382474
mo_sin_old_il_acct,0.0009045287110150465,-0.000619847486332471,0.0013875022767430086
mths_since_last_delinq,0.000810639612674425,-0.0007421674591776011,0.0006086756256662431
mths_since_rcnt_il,0.0007896686363863377,3.34618328710821e-05,0.0016784518048830177
total_bc_limit,0.0007847827817178054,-0.000394805366487375,0.0011892814829428163
total_il_high_credit_limit,0.0007677968091560305,-0.00029939501056261436,0.0016238286743040255
percent_bc_gt_75,0.0007365877435104064,6.37735823262889e-05,0.0015020457584408685
num_il_tl,0.0007298645207941799,-0.00040353070871811293,0.001279574949106042
avg_cur_bal,0.0007126400842195174,-0.000531057224716996,0.0012813693866525551
total_acc,0.0007122133091000135,-0.00047258620452450767,0.001004007058766563
num_rev_accts,0.0007070285326536293,-0.00046930024479022707,0.0012729844687299908
num_sats,0.0006920329066157355,-0.00037511264277178256,0.001220783819969409
revol_bal,0.0006288730071033106,-0.0002501585905282126,0.0009013695324240771
tot_cur_bal,0.0006227194290258092,-0.00041431083355202204,0.0014127906951827479
bc_open_to_buy,0.0006189372985087007,-0.00035058358777244385,0.0010214366618990548
fico_midpoint,0.0006089695643709681,-0.00013426417188083648,0.000889324498323709
bc_util,0.0005434640699283937,-2.776807030859833e-05,0.001329294405381699
tot_hi_cred_lim,0.0005416338675384553,-0.0004313550715035183,0.0008385494927335166
mo_sin_rcnt_tl,0.0005297025597372728,-0.00024293946653408444,0.0007188160167495368
total_bal_il,0.0005111268947631985,0.00020091914064414076,0.0009072206759585331
mths_since_recent_bc,0.0004782598408232843,-0.0003520186884376946,0.0009983578912763208
total_bal_ex_mort,0.0004512068105801733,-0.00034955862573772057,0.0007554813174196289
acc_open_past_24mths,0.0004447037793821103,-0.00024049049055335447,0.0006915227518947029
num_tl_op_past_12m,0.0004287971963801769,-0.00022857450632137816,0.0008368695139115013
fico_range_low,0.0004185482824254623,-0.0002956760009395476,0.0006795885003130446
revol_util,0.00040952538885844647,-0.0003633089165415655,0.0005395922154588758
mo_sin_rcnt_rev_tl_op,0.00038345945050527046,-0.0001934975034797922,0.0006859053904338573
num_actv_rev_tl,0.0003701539475352177,-0.00012933528700581425,0.0005990305449688704
max_bal_bc,0.0003658077068118875,4.949633891895398e-06,0.0006598676045756242
open_acc,0.0003639373503941201,-0.0002131791757325582,0.000952761168067319
mths_since_recent_inq,0.00033936137701255474,-0.0002542579609827019,0.00040992254072818316
mths_since_recent_bc_dlq,0.00033529317213646216,-0.00015629093534469114,0.0009724530208419548
fico_range_high,0.000301938224010882,-0.0002459399522113931,0.00044594280130772174
num_op_rev_tl,0.0002871956375514811,-0.00020857563239201068,0.0004998133952263049
inq_last_6mths,0.00027443270054521935,-9.302862378983788e-05,0.0004212653550483802
il_util,0.00027219459253892566,-0.00013671436756592046,0.0005443038994840546
all_util,0.0002368320865089681,9.03965881177143e-05,0.0005943344713338111
mths_since_last_record,0.00020569451838498408,-0.00014869287701318768,0.000289186038424319
mths_since_recent_revol_delinq,0.00020453931373661004,4.7203212686029096e-05,0.00046615940688071625
num_accts_ever_120_pd,0.00020188220852540798,-0.00012065369865491295,0.000399415585389227
num_actv_bc_tl,0.00019455990855812573,-0.00011644750623285605,0.0002893147316927344
num_bc_sats,0.00019235144983741442,-0.00010116119346102278,0.00037121218928421617
pub_rec,0.00017335006955515882,-7.978126963924213e-05,0.0010380150121421735
pub_rec_bankruptcies,0.00016321364741586085,-5.187260996311857e-05,0.0010908833441839385
num_rev_tl_bal_gt_0,0.00014425317623534265,-7.845733109217192e-05,0.00022374648702196527
tot_coll_amt,0.00010910641710969336,-1.0590275289135268e-05,0.0003212747082310189
inq_fi,9.813761898162554e-05,-5.379376232787592e-05,0.00022023955025216103
open_act_il,8.85599462004701e-05,-2.9309150648304595e-05,0.00022902310315013337
delinq_2yrs,8.802011813010998e-05,-6.647526848026295e-05,0.0006313533636267896
mort_acc,8.773431951955e-05,-4.829371649321853e-05,0.00012638493639334386
inq_last_12m,7.652584271649128e-05,-6.633992361523651e-05,0.00018299530191981836
open_rv_12m,5.242939719060576e-05,-3.7263365097617305e-05,0.00012259000077434427
